A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[3.398890121027352599574254300973247117425790597517016072272538208719501055e-83 +/- 6.30e-156],4.494283566949409616339991604625821480667e-156,1e-100,[3.914275937187718591938762607792158412241282945709462291664817508225530003e-120 +/- 8.48e-193],5.175767780555227839067197444915585554023e-193,,,,,,8,140,0.9690716000040993,[2.130716296560750030409957369769729722869598906910461224272575924152875663e-27 +/- 3.17e-100],2.817402987935178920924778504907583817409e-100,33,acb_coefficient_enclosure,0.0,100,[2.130716296560750030409957369769729722869598906910461224272575924152875663e-27 +/- 3.17e-100],2.817402983677219080916627784997530101162e-100,9.656488077152373047608012609458781532546149970908918414718615892999847373546053226119707502645915848e-13548
[8.32867952413194424282931503060025127559546062775231162199303423430973096e-86 +/- 5.02e-158],2.312397943605034014109232764766145750714e-158,1e-100,[2.82105496111043192820944233113601219220716920767596404760057672009451394e-124 +/- 4.55e-196],7.832456091424184019924367522200383594321e-197,,,,,,8,140,1.0091888999886578,[6.99631657072162209910022808744949570491718816508193636856024748651775012e-28 +/- 4.64e-100],1.942476942279621310121458276962312298686e-100,34,acb_coefficient_enclosure,0.0,100,[6.99631657072162209910022808744949570491718816508193636856024748651775012e-28 +/- 4.64e-100],1.942476940150641390117382917007285440562e-100,6.001017518091213859151182328892645682834476967428614806132380427417876164893547280232073300195027124e-13546
[2.01576168887338606369178668656143661083602292487130107255224992636748017e-88 +/- 2.37e-160],1.38919611004020901434095975188873389958e-160,1e-100,[1.95077211265210095769978220221878801052289821039199754562586743288222590e-128 +/- 2.16e-200],1.344407448849060177944198929343477432106e-200,,,,,,8,140,0.9270963000017218,[2.33674635631817708532992234705312904754022277244159932897683076046587971e-28 +/- 4.24e-100],1.610408089996391093537668508311219885648e-100,35,acb_coefficient_enclosure,0.0,100,[2.33674635631817708532992234705312904754022277244159932897683076046587971e-28 +/- 4.24e-100],1.610408087867411173533593148356193027524e-100,3.732463853505746535494594530195763850055922575797853941391632671475681851291535885845751506149470391e-13544
[4.8199675649739950641055146893627439312039196675651487098676065088171597e-91 +/- 1.10e-162],8.727970474890216165473492936108937389879e-163,1e-100,[1.29571344910073433811073449346818865265803991704643298144602962669135720e-132 +/- 2.84e-204],2.346270707115589275228922826239022077249e-204,,,,,,8,140,0.9697449999948731,[7.9342311267330426121623879827992492241709865374068612756961274880364385e-29 +/- 4.54e-100],1.436726155084129346145279172008607700072e-100,36,acb_coefficient_enclosure,0.0,100,[7.9342311267330426121623879827992492241709865374068612756961274880364385e-29 +/- 4.54e-100],1.436726152955149426141203812053580841948e-100,2.323330924702755103738005143179390538993713997866499768449805323176095661954621789764807512868930611e-13542
[1.13894674090761518033133593672153564844454359444726838134850148175442556e-93 +/- 7.59e-165],5.468422175132707098096367427962704763675e-165,1e-100,[8.2749721922404484863348444286296689235256949905582826541848410863554184e-137 +/- 7.93e-208],3.973060351646537131786068631426747347891e-208,,,,,,8,140,0.9849128000059864,[2.7372660043689940837732665985405397660964552402642578911500840975824960e-29 +/- 2.96e-100],1.314242844749491204761493102251702149258e-100,37,acb_coefficient_enclosure,0.0,100,[2.7372660043689940837732665985405397660964552402642578911500840975824960e-29 +/- 2.96e-100],1.314242842620511284757417742296675291135e-100,1.447280277361502912621861337191215013090484239737638255759665395983829191020265733570824093349819175e-13540
[2.660262755546649436505485116092540017944990179380795807325501536328746e-96 +/- 2.31e-166],6.445643262786918569864679440342279447225e-167,1e-100,[5.086324504344263888699642776115810103383588314235722355080855752915633e-141 +/- 2.35e-211],1.232383271077020860983958777986292552283e-211,,,,,,8,140,1.050567600002978,[9.590237903895308774958695368520993395551625204396435644990457459895898e-30 +/- 4.99e-100],2.323652119415512807568272950458726304505e-100,38,acb_coefficient_enclosure,0.0,100,[9.590237903895308774958695368520993395551625204396435644990457459895898e-30 +/- 4.99e-100],2.323652115157552967560122230548672588258e-100,9.022006923811966208551862881191989691992629026935926789151160910029065086879578598883059283219652001e-13539
[6.143420233197010016664127362704422010212253624335591002808614352494894e-99 +/- 5.70e-169],4.633442515292177780872847102852534594863e-169,1e-100,[3.011793189480172169634398131898162219297949265984241599468371833006417e-145 +/- 6.78e-215],2.271531173706317027316846141885598163989e-215,,,,,,8,140,0.7911488999961875,[3.410639292828022770857852855242711386555694801292979450629332735412633e-30 +/- 5.64e-100],2.572345766396426944726188119270798405545e-100,39,acb_coefficient_enclosure,0.0,100,[3.410639292828022770857852855242711386555694801292979450629332735412633e-30 +/- 5.64e-100],2.572345762138467104718037399360744689298e-100,5.627905078550046769081465858039762683815148841106360407207205185395345917486400422189331157937524691e-13537
[1.403003827282072724515606719208036888740962509364796340646401077817524e-101 +/- 6.55e-171],1.755453356200893750735300017130967041877e-171,1e-100,[1.719545957880778141342656911821095968121821636057088665701087633152866e-149 +/- 6.42e-219],2.151514242914871257458561247593035623099e-219,,,,,,8,140,0.9371280999912415,[1.230669705716248965456018468036755263670585318218074660708846542675760e-30 +/- 2.75e-100],1.539827057650696945117855160936953134868e-100,40,acb_coefficient_enclosure,0.0,100,[1.230669705716248965456018468036755263670585318218074660708846542675760e-30 +/- 2.75e-100],1.539827055521717025113779800981926276744e-100,3.512924453969016847466159429413461744366591671683180027017238199673934439359412411677686214139768499e-13535
[3.16930985503330391161548511187505659180085999333349398482205468572995e-104 +/- 1.20e-173],8.097352285404484992635722424587465269457e-174,1e-100,[9.47405226422017984801878124340716854524376086557625371377353707875449e-154 +/- 3.10e-223],2.420550274831914103311283965533044035427e-223,,,,,,8,140,0.9338377000094624,[4.50362654203216848311842928280875028488722450687480836206886276840693e-31 +/- 4.39e-100],1.150643264815027317328367263582932506347e-100,41,acb_coefficient_enclosure,0.0,100,[4.50362654203216848311842928280875028488722450687480836206886276840693e-31 +/- 4.39e-100],1.150643262686047397324291903627905648223e-100,2.194096430045226908104165118322817552144145930844048826512935280374659775137252282185195823385609626e-13533
[7.08301543827944917526980875513440796584297622792946710081577210495510e-107 +/- 6.79e-176],4.181133496678934096440410557160511941219e-176,1e-100,[5.04127017582513357610243877709867542576886076606700129914298678283008e-158 +/- 6.06e-227],2.975882765958725031927262107225996788242e-227,,,,,,8,140,0.9073497000063071,[1.67079799459069928275589621992328950406325768840208359751518946023137e-31 +/- 5.27e-100],9.862790053243260861217165382098560126725e-101,42,acb_coefficient_enclosure,0.0,100,[1.67079799459069928275589621992328950406325768840208359751518946023137e-31 +/- 5.27e-100],9.862790042598361261196788582323425836107e-101,1.37118120428238180421756765982715374552820037466395145487490731874708149712106872034914826044992451e-13531
